Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Gesamt_Fehlwerte;Beschreibung;eor;                                                                                                              
1420;Frankfurt/Main;V_N;30.11.1981-22:00;30.11.1981-22:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;13.12.1981-16:00;13.12.1981-16:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;31.12.1981-19:00;31.12.1981-19:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;08.01.1982-12:00;08.01.1982-12:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;12.01.1982-16:00;12.01.1982-16:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;17.01.1982-10:00;17.01.1982-10:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;17.01.1982-22:00;17.01.1982-22:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;25.01.1982-11:00;25.01.1982-11:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;27.01.1982-02:00;27.01.1982-02:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;29.01.1982-23:00;29.01.1982-23:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;02.02.1982-02:00;02.02.1982-02:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;08.02.1982-23:00;08.02.1982-23:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;15.02.1982-23:00;15.02.1982-23:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;26.02.1982-23:00;26.02.1982-23:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;27.02.1982-23:00;27.02.1982-23:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;28.02.1982-19:00;28.02.1982-19:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;01.03.1982-17:00;01.03.1982-18:00;2;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;05.03.1982-10:00;05.03.1982-10:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;07.03.1982-08:00;07.03.1982-08:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;11.03.1982-07:00;11.03.1982-07:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;13.03.1982-04:00;13.03.1982-04:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;19.03.1982-13:00;19.03.1982-13:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;27.03.1982-23:00;27.03.1982-23:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;04.04.1982-16:00;04.04.1982-16:00;1;;eor;                                                                                                                                       
1420;Frankfurt/Main;V_N;18.04.1982-06:00;18.04.1982-06:00;1;;eor;                                                                                                                                       
